2015-07-25 14:44:41.981176: updated weight of base 1, zone 1 to 1.38
2015-07-25 14:45:23.286539: updated weight of base 1, zone 1 to 2.93
2015-07-25 14:45:33.533125: updated weight of base 1, zone 1 to 2.62
2015-07-25 14:45:43.693706: updated weight of base 1, zone 1 to 2.67
2015-07-25 14:45:53.903290: updated weight of base 1, zone 1 to 2.65
2015-07-25 14:46:04.108874: updated weight of base 1, zone 1 to 2.65
2015-07-25 14:46:14.297456: updated weight of base 1, zone 1 to 2.65
2015-07-25 14:46:24.489039: updated weight of base 1, zone 1 to 2.67
2015-07-25 14:46:34.646620: updated weight of base 1, zone 1 to 2.63
2015-07-25 14:46:44.857204: updated weight of base 1, zone 1 to 2.65
2015-07-25 14:46:55.056788: updated weight of base 1, zone 1 to 2.65
2015-07-25 14:47:05.255371: updated weight of base 1, zone 1 to 2.67
2015-07-25 14:47:15.459955: updated weight of base 1, zone 1 to 2.66
2015-07-25 14:47:22.265344: weight for base 1, zone 1 requested
2015-07-25 14:47:23.307404: weight for base 1, zone 1 requested
2015-07-25 14:47:25.666539: updated weight of base 1, zone 1 to 2.67
2015-07-25 14:47:26.786603: weight for base 1, zone 1 requested
2015-07-25 14:47:35.874122: updated weight of base 1, zone 1 to 2.62
2015-07-25 14:47:36.630166: weight for base 1, zone 1 requested
2015-07-25 14:47:39.420325: weight for base 1, zone 2 requested
2015-07-25 14:47:45.605679: weight for base 1, zone 1 requested
2015-07-25 14:47:46.036704: updated weight of base 1, zone 1 to 2.70
2015-07-25 14:47:48.613851: weight for base 1, zone 1 requested
2015-07-25 14:47:53.259117: weight for base 1, zone 1 requested
2015-07-25 14:47:56.185284: updated weight of base 1, zone 1 to 2.62
2015-07-25 14:47:59.125452: weight for base 1, zone 1 requested
2015-07-25 14:48:09.923070: updated weight of base 1, zone 1 to 2.62
2015-07-25 14:48:20.085651: updated weight of base 1, zone 1 to 2.55
2015-07-25 14:48:30.283234: updated weight of base 1, zone 1 to 2.60
2015-07-25 14:48:40.432815: updated weight of base 1, zone 1 to 2.63
2015-07-25 14:48:50.592396: updated weight of base 1, zone 1 to 2.54
2015-07-25 14:49:00.800980: updated weight of base 1, zone 1 to 2.63
2015-07-25 14:49:44.085456: updated weight of base 1, zone 1 to 2.86
2015-07-25 14:49:54.277039: updated weight of base 1, zone 1 to 2.54
2015-07-25 14:50:04.441620: updated weight of base 1, zone 1 to 2.60
2015-07-25 14:50:14.600201: updated weight of base 1, zone 1 to 2.60
2015-07-25 14:50:24.800784: updated weight of base 1, zone 1 to 2.67
2015-07-25 14:50:35.028369: updated weight of base 1, zone 1 to 2.55
2015-07-25 14:50:45.198951: updated weight of base 1, zone 1 to 2.57
2015-07-25 14:50:55.377533: updated weight of base 1, zone 1 to 2.58
2015-07-25 14:51:31.089576: updated weight of base 1, zone 1 to 2.82
2015-07-25 14:51:43.318275: updated weight of base 1, zone 1 to 2.57
2015-07-25 14:51:55.478971: updated weight of base 1, zone 1 to 2.53
2015-07-25 14:52:07.635666: updated weight of base 1, zone 1 to 2.64
2015-07-25 14:52:19.837364: updated weight of base 1, zone 1 to 2.50
2015-07-25 14:52:32.044062: updated weight of base 1, zone 1 to 2.61
2015-07-25 14:52:44.247760: updated weight of base 1, zone 1 to 2.60
2015-07-25 14:52:56.447458: updated weight of base 1, zone 1 to 2.59
2015-07-25 14:53:08.647156: updated weight of base 1, zone 1 to 2.54
2015-07-25 14:53:20.854854: updated weight of base 1, zone 1 to 2.59
2015-07-25 14:53:33.046551: updated weight of base 1, zone 1 to 2.60
2015-07-25 14:53:45.203247: updated weight of base 1, zone 1 to 2.54
2015-07-25 14:54:25.471550: updated weight of base 1, zone 1 to 2.90
2015-07-25 14:54:35.644132: updated weight of base 1, zone 1 to 2.52
2015-07-25 14:54:45.853716: updated weight of base 1, zone 1 to 2.50
2015-07-25 14:54:56.041298: updated weight of base 1, zone 1 to 2.46
2015-07-25 14:55:06.231881: updated weight of base 1, zone 1 to 2.47
2015-07-25 14:55:16.460466: updated weight of base 1, zone 1 to 2.59
2015-07-25 14:55:26.639049: updated weight of base 1, zone 1 to 2.47
2015-07-25 14:55:36.799630: updated weight of base 1, zone 1 to 2.49
2015-07-25 14:55:47.001213: updated weight of base 1, zone 1 to 2.51
2015-07-25 14:55:57.220798: updated weight of base 1, zone 1 to 2.46
2015-07-25 14:56:07.414381: updated weight of base 1, zone 1 to 2.54
2015-07-25 14:56:17.628965: updated weight of base 1, zone 1 to 2.57
2015-07-25 14:57:08.947900: weight for base 1, zone 1 requested
2015-07-25 14:57:15.065250: weight for base 1, zone 1 requested
2015-07-25 14:57:15.766290: weight for base 1, zone 1 requested
2015-07-25 14:57:34.137341: weight for base 1, zone 1 requested
2015-07-25 14:58:02.332954: updated weight of base 1, zone 1 to 2.79
2015-07-25 14:58:12.545538: updated weight of base 1, zone 1 to 2.54
2015-07-25 14:58:22.705119: updated weight of base 1, zone 1 to 2.46
2015-07-25 14:58:32.905702: updated weight of base 1, zone 1 to 2.56
2015-07-25 14:58:43.115286: updated weight of base 1, zone 1 to 2.50
2015-07-25 14:58:53.321870: updated weight of base 1, zone 1 to 2.50
2015-07-25 14:59:35.922307: weight for base 1, zone 1 requested
2015-07-25 15:00:20.170838: updated weight of base 1, zone 1 to 2.80
2015-07-25 15:00:30.406423: updated weight of base 1, zone 1 to 2.47
2015-07-25 15:00:40.593006: updated weight of base 1, zone 1 to 2.53
2015-07-25 15:00:50.793589: updated weight of base 1, zone 1 to 6.04
2015-07-25 15:01:00.978172: updated weight of base 1, zone 1 to 6.04
2015-07-25 15:01:37.809278: updated weight of base 1, zone 1 to 2.83
2015-07-25 15:01:47.998861: updated weight of base 1, zone 1 to 2.48
