2015-07-25 15:01:58.199445: updated weight of base 1, zone 1 to 6.04
2015-07-25 15:02:08.374027: updated weight of base 1, zone 1 to 6.04
2015-07-25 15:02:18.587611: updated weight of base 1, zone 1 to 6.04
2015-07-25 15:02:28.758192: updated weight of base 1, zone 1 to 6.04
2015-07-25 15:02:38.966776: updated weight of base 1, zone 1 to 6.04
2015-07-25 15:02:49.167360: updated weight of base 1, zone 1 to 6.04
2015-07-25 15:02:59.375944: updated weight of base 1, zone 1 to 6.04
2015-07-25 15:03:09.573527: updated weight of base 1, zone 1 to 6.04
2015-07-25 15:03:19.773110: updated weight of base 1, zone 1 to 6.04
2015-07-25 15:03:57.739282: updated weight of base 1, zone 1 to 2.85
2015-07-25 15:04:07.973867: updated weight of base 1, zone 1 to 2.47
2015-07-25 15:04:18.140449: updated weight of base 1, zone 1 to 2.54
2015-07-25 15:04:28.373034: updated weight of base 1, zone 1 to 6.04
2015-07-25 15:04:38.551616: updated weight of base 1, zone 1 to 6.04
2015-07-25 15:04:48.754200: updated weight of base 1, zone 1 to 6.04
2015-07-25 15:04:58.954783: updated weight of base 1, zone 1 to 6.04
2015-07-25 15:05:09.175368: updated weight of base 1, zone 1 to 6.04
2015-07-25 15:05:22.938155: updated weight of base 1, zone 1 to 6.04
2015-07-25 15:05:33.097736: updated weight of base 1, zone 1 to 6.04
2015-07-25 15:06:04.683543: updated weight of base 1, zone 1 to 2.77
2015-07-25 15:06:14.880126: updated weight of base 1, zone 1 to 2.54
2015-07-25 15:06:25.052708: updated weight of base 1, zone 1 to 6.04
2015-07-25 15:06:35.964332: updated weight of base 1, zone 1 to 6.04
2015-07-25 15:07:15.615600: updated weight of base 1, zone 1 to 2.74
2015-07-25 15:07:25.789182: updated weight of base 1, zone 1 to 2.57
2015-07-25 15:07:36.013766: updated weight of base 1, zone 1 to 2.45
2015-07-25 15:07:46.188348: updated weight of base 1, zone 1 to 2.60
2015-07-25 15:07:56.341929: updated weight of base 1, zone 1 to 2.51
2015-07-25 15:08:06.565514: updated weight of base 1, zone 1 to 2.53
2015-07-25 15:08:16.749096: updated weight of base 1, zone 1 to 2.54
2015-07-25 15:08:26.953680: updated weight of base 1, zone 1 to 2.49
2015-07-25 15:08:37.852303: updated weight of base 1, zone 1 to 2.64
2015-07-25 15:08:48.019885: updated weight of base 1, zone 1 to 2.51
2015-07-25 15:08:58.204467: updated weight of base 1, zone 1 to 2.56
2015-07-25 15:09:11.953254: updated weight of base 1, zone 1 to 2.57
2015-07-25 15:09:22.110835: updated weight of base 1, zone 1 to 2.57
2015-07-25 15:09:32.300418: updated weight of base 1, zone 1 to 2.62
2015-07-25 15:09:42.452998: updated weight of base 1, zone 1 to 2.51
2015-07-25 15:09:52.663582: updated weight of base 1, zone 1 to 2.64
2015-07-25 15:10:02.883167: updated weight of base 1, zone 1 to 2.60
2015-07-25 15:10:13.075750: updated weight of base 1, zone 1 to 2.55
2015-07-25 15:10:47.159699: updated weight of base 1, zone 1 to 2.92
2015-07-25 15:11:12.528150: updated weight of base 1, zone 2 to 2.77
2015-07-25 15:11:20.719619: updated weight of base 1, zone 1 to 2.51
2015-07-25 15:11:28.879086: updated weight of base 1, zone 2 to 2.87
2015-07-25 15:11:37.037552: updated weight of base 1, zone 1 to 2.57
2015-07-25 15:11:43.891944: weight for base 1, zone 2 requested
2015-07-25 15:11:45.225021: updated weight of base 1, zone 2 to 2.78
2015-07-25 15:11:49.988293: weight for base 1, zone 2 requested
2015-07-25 15:11:53.401488: updated weight of base 1, zone 1 to 2.50
2015-07-25 15:11:56.383659: weight for base 1, zone 2 requested
2015-07-25 15:12:00.034868: weight for base 1, zone 2 requested
2015-07-25 15:12:01.575956: updated weight of base 1, zone 2 to 2.72
2015-07-25 15:12:03.244051: weight for base 1, zone 2 requested
2015-07-25 15:12:09.737423: updated weight of base 1, zone 1 to 2.50
2015-07-25 15:12:17.958893: updated weight of base 1, zone 2 to 2.87
2015-07-25 15:12:26.149361: updated weight of base 1, zone 1 to 2.44
2015-07-25 15:12:34.353831: updated weight of base 1, zone 2 to 2.69
2015-07-25 15:12:42.558300: updated weight of base 1, zone 1 to 2.57
